taxable_year,county,fp,population,all_returns,agi,median_income,median_rank,joint_returns,joint_returns_median_income,joint_returns_median_rank,tax_assessed,latitude,longitude,new_georeferenced_column
1996,Colusa,6011,18250,7424,201037000,17140,57,3876,25187,57,5845000,39.16798125,-122.2990667,POINT (-122.2990667 39.16798125)
1996,Contra Costa,6013,877900,372961,20488484000,34281,2,167395,63014,3,889455000,37.98817952,-121.9371402,POINT (-121.9371402 37.98817952)
1996,Del Norte,6015,27500,7594,217610000,21710,39,3921,34675,43,5076000,41.70557047,-123.8920045,POINT (-123.8920045 41.70557047)
1996,El Dorado,6017,144700,48612,2177425000,31752,5,27385,50559,10,76293000,38.76394197,-120.6060593,POINT (-120.6060593 38.76394197)
1996,Fresno,6019,769700,251122,7877407000,19719,50,107711,37205,38,241965000,36.81276025,-119.6826941,POINT (-119.6826941 36.81276025)
1996,Glenn,6021,26700,9244,246657000,18672,55,4741,29600,54,6066000,39.59028676,-122.0780968,POINT (-122.0780968 39.59028676)
1996,Humboldt,6023,125100,45449,1359462000,21247,41,20205,37636,36,38071000,40.86148517,-123.8585124,POINT (-123.8585124 40.86148517)
1996,Imperial,6025,141200,44131,1109357000,15531,58,24075,21547,58,27589000,33.07729374,-114.7515356,POINT (-114.7515356 33.07729374)
1996,Inyo,6027,18250,7632,248117000,22902,32,3654,40695,25,7115000,36.63350255,-118.2559592,POINT (-118.2559592 36.63350255)
1996,Kern,6029,624100,194632,6411332000,21944,37,92676,39076,30,187469000,35.37676773,-118.8073572,POINT (-118.8073572 35.37676773)
1996,Kings,6031,115700,32284,921905000,19966,46,15326,34614,45,23648000,36.01947119,-120.0181641,POINT (-120.0181641 36.01947119)
1996,Lake,6033,54900,18133,503749000,19902,47,9061,31197,50,12188000,39.06500481,-122.6570192,POINT (-122.6570192 39.06500481)
1996,Lassen,6035,32650,9558,314293000,27296,11,5230,40955,23,7977000,40.43255922,-120.6495591,POINT (-120.6495591 40.43255922)
