fips_code,RegionName,year,price
06045,Mendocino County,2009,266740.0872196162
06045,Mendocino County,2010,258104.45031704524
06045,Mendocino County,2011,248948.84606524897
06045,Mendocino County,2012,242037.97960454435
06045,Mendocino County,2013,264165.00739125715
06045,Mendocino County,2014,295631.2313312497
06045,Mendocino County,2015,316621.904346953
06045,Mendocino County,2016,344219.4802822773
06045,Mendocino County,2017,377622.0236163649
06045,Mendocino County,2018,404457.5979037978
06045,Mendocino County,2019,424114.3263400975
06045,Mendocino County,2020,443740.83272432705
06045,Mendocino County,2021,503837.5184774835
06045,Mendocino County,2022,515783.3125072041
06045,Mendocino County,2023,479758.6400829476
06047,Merced County,2000,209715.80255752723
06047,Merced County,2001,149512.5145398852
06047,Merced County,2002,173065.96085134358
06047,Merced County,2003,200167.37459204116
06047,Merced County,2004,240354.29198889583
06047,Merced County,2005,311703.9918506183
06047,Merced County,2006,365901.1401044592
06047,Merced County,2007,322632.81418880384
06047,Merced County,2008,205955.87114105307
06047,Merced County,2009,121000.34472837178
06047,Merced County,2010,123525.27687328354
06047,Merced County,2011,122482.3358320553
06047,Merced County,2012,120901.29332671686
06047,Merced County,2013,144910.0865095123
06047,Merced County,2014,178114.81682123998
06047,Merced County,2015,196901.56577463684
06047,Merced County,2016,215977.18845829452
06047,Merced County,2017,238879.13260293062
06047,Merced County,2018,262637.26279525895
06047,Merced County,2019,283985.7824577166
06047,Merced County,2020,301080.17420416995
06047,Merced County,2021,352857.70600930904
06047,Merced County,2022,404832.16820677347
06047,Merced County,2023,393697.50936965365
06049,Modoc County,2000,251441.74499507816
06049,Modoc County,2001,221931.47806610595
06049,Modoc County,2002,249577.36322118514
06049,Modoc County,2003,349091.1393165677
06049,Modoc County,2004,412987.6420318305
06049,Modoc County,2005,258048.68783710318
06049,Modoc County,2006,284093.75636711234
06049,Modoc County,2007,237223.71734827125
06049,Modoc County,2008,124815.92151983856
06049,Modoc County,2009,104763.92449362796
06049,Modoc County,2010,103968.10073268309
06049,Modoc County,2011,102681.17556717333
06049,Modoc County,2012,96096.48999232498
