fire_year,fips_code,fod_id
2003,6033,107
2003,6035,212
2003,6037,235
2003,6039,350
2003,6041,2
2003,6043,119
2003,6045,222
2003,6047,334
2003,6049,152
2003,6051,83
2003,6053,97
2003,6055,68
2003,6057,119
2003,6059,6
2003,6061,187
2003,6063,185
2003,6065,555
2003,6067,27
2003,6069,63
2003,6071,300
2003,6073,282
2003,6075,3
2003,6077,27
2003,6079,158
2003,6081,6
2003,6083,14
2003,6085,74
2003,6087,40
2003,6089,264
2003,6091,70
2003,6093,301
2003,6095,28
2003,6097,108
2003,6099,46
2003,6101,8
2003,6103,210
2003,6105,161
2003,6107,473
2003,6109,221
2003,6111,10
2003,6113,27
2003,6115,85
2004,6001,54
2004,6003,49
2004,6005,74
2004,6007,284
2004,6009,132
2004,6011,14
2004,6013,25
2004,6015,56
2004,6017,286
2004,6019,248
2004,6021,25
2004,6023,315
2004,6025,31
2004,6027,38
2004,6029,101
2004,6031,2
2004,6033,67
2004,6035,186
2004,6037,204
2004,6039,340
2004,6041,17
2004,6043,95
2004,6045,144
2004,6047,401
2004,6049,106
2004,6051,65
2004,6053,97
2004,6055,62
2004,6057,145
2004,6059,18
2004,6061,174
2004,6063,200
2004,6065,579
2004,6067,32
2004,6069,73
2004,6071,185
2004,6073,251
2004,6075,5
2004,6077,27
2004,6079,141
2004,6081,11
2004,6083,26
2004,6085,62
2004,6087,46
2004,6089,282
2004,6091,63
2004,6093,264
2004,6095,21
2004,6097,119
2004,6099,41
2004,6101,6
2004,6103,203
2004,6105,133
2004,6107,472
2004,6109,192
2004,6111,16
2004,6113,19
2004,6115,75
2005,6001,161
2005,6003,24
2005,6005,54
2005,6007,225
2005,6009,131
2005,6011,12
2005,6013,291
2005,6015,40
2005,6017,207
2005,6019,281
2005,6021,26
2005,6023,259
2005,6025,41
2005,6027,69
2005,6029,531
2005,6031,32
2005,6033,84
2005,6035,69
2005,6037,1271
2005,6039,189
2005,6041,20
2005,6043,95
2005,6045,137
2005,6047,357
2005,6049,40
2005,6051,76
2005,6053,145
2005,6055,58
2005,6057,104
2005,6059,178
2005,6061,190
2005,6063,82
2005,6065,838
2005,6067,169
2005,6069,43
2005,6071,397
2005,6073,699
2005,6075,25
2005,6077,62
2005,6079,177
2005,6081,51
2005,6083,59
2005,6085,66
2005,6087,97
2005,6089,251
2005,6091,31
2005,6093,165
2005,6095,86
2005,6097,148
2005,6099,214
2005,6101,54
2005,6103,165
2005,6105,81
2005,6107,486
2005,6109,164
2005,6111,67
2005,6113,37
2005,6115,100
2006,6001,237
2006,6003,52
2006,6005,67
2006,6007,258
2006,6009,107
2006,6011,21
2006,6013,344
2006,6015,47
2006,6017,291
2006,6019,453
2006,6021,26
2006,6023,329
2006,6025,36
2006,6027,43
2006,6029,637
2006,6031,47
2006,6033,75
2006,6035,169
2006,6037,1435
2006,6039,252
2006,6041,32
2006,6043,78
2006,6045,142
2006,6047,308
2006,6049,191
2006,6051,73
2006,6053,127
2006,6055,61
2006,6057,114
2006,6059,158
2006,6061,232
2006,6063,151
2006,6065,923
2006,6067,38
2006,6069,50
2006,6071,695
2006,6073,539
2006,6075,28
2006,6077,105
2006,6079,167
2006,6081,74
2006,6083,67
2006,6085,73
2006,6087,109
2006,6089,348
2006,6091,34
2006,6093,301
2006,6095,92
2006,6097,182
2006,6099,188
2006,6101,49
2006,6103,172
2006,6105,169
2006,6107,612
2006,6109,172
2006,6111,57
2006,6113,62
2006,6115,136
2007,6001,186
2007,6003,34
2007,6005,91
2007,6007,368
2007,6009,171
2007,6011,19
2007,6013,150
2007,6015,67
2007,6017,354
2007,6019,607
2007,6021,13
2007,6023,381
2007,6025,10
2007,6027,52
2007,6029,274
2007,6031,10
2007,6033,121
2007,6035,200
2007,6037,1152
2007,6039,358
2007,6041,41
2007,6043,138
